a,une,에이,a
able,capable,할 수 있는,できる
about,sur,약,約
absolute,absolu,순수한,絶対の
accept,Acceptez,수락,受け入れる
account,Compte,계정,アカウント
achieve,atteindre,이루다,達成する
across,à travers,건너서,に渡って
act,acte,행위,行為
active,actif,유효한,アクティブ
actual,réel,실제,実際の
add,ajouter,더하다,加える
address,adresse,주소,住所
admit,admettre,들이다,認める
advertise,afficher,공시 하다,広告する
affect,affecter,감정,影響する
afford,offrir,여유,余裕がある
after,après,후,後
afternoon,après midi,대낮,午後
again,encore,다시,再び
against,contre,에 대하여,に対して
age,âge,나이,年齢
agent,agent,에이전트,エージェント
ago,depuis,...전에,前
agree,se mettre d'accord,동의하다,同意する
air,air,공기,空気
all,tout,모든,すべて
allow,permettre,허락하다,許す
almost,presque,거의,ほぼ
along,le long de,...을 따라서,に沿って
already,déjà,이미,既に
alright,bien,다 좋아,大丈夫
also,également,또한,また
although,bien que,이기는 하지만,でも
always,toujours,항상,常に
America,Amérique,미국,アメリカ
amount,montant,양,量
and,et,과,そして
another,un autre,다른,別の
answer,réponse,대답,回答
any,tout,어떤,どれか
apart,une part,떨어져서,離れて
apparent,apparent,명백한,見かけ上
appear,apparaître,나타나다,現れる
apply,appliquer,대다,適用する
appoint,nommer,정하다,任命する
approach,approche,접근,アプローチ
appropriate,approprié,적당한,適切な
area,surface,지역,エリア
argue,se disputer,논하다,議論する
arm,bras,팔,腕
around,autour,약...,周り
arrange,organiser,붙이다,アレンジ
art,art,미술,アート
as,comme,같이,として
ask,demander,청하다,尋ねる
associate,associer,동무,準ずる
assume,assumer,취하다,想定する
at,à,...에서,で
attend,assister,참석하다,出席する
authority,autorité,권위,権限
available,disponible,유효한,利用可能
aware,conscient,인식,承知して
away,une façon,떨어져,離れて
awful,terrible,무서운,ひどい
baby,bébé,아가,赤ちゃん
back,retour,뒤로,バック
bad,mal,나쁜,悪い
bag,sac,가방,バッグ
balance,équilibre,균형,バランス
ball,ballon,공,玉
bank,banque,은행,バンク
bar,bar,바,バー
base,base,베이스,ベース
basis,base,기초,基礎
be,être,있다,なる
bear,ours,곰,くま
beat,battre,박자,ビート
beauty,beauté,아름다움,美人
because,parce que,때문에,なぜなら
become,devenir,지다,なる
bed,lit,침대,ベッド
before,avant,전에,前
begin,commencer,시작하다,ベギン
behind,derrière,뒤에,後ろに
believe,croyez,믿다,信じる
benefit,avantage,이익,恩恵
best,meilleur,베스트,ベスト
bet,pari,내기,ベット
between,entre,중에서,の間に
big,gros,큰,大きい
bill,facture,계산서,ビル
birth,naissance,출생,誕生
bit,bit,비트,ビット
black,noir,검은,黒
bloke,type,놈,やつ
blood,du sang,피,血液
blow,coup,타격,ブロー
blue,bleu,푸른,青
board,planche,판,ボード
boat,bateau,보트,ボート
body,corps,몸,体
book,livre,책,本
both,tous les deux,양자 모두,両方
bother,déranger,귀찮음,わざわざ
bottle,bouteille,병,ボトル
bottom,bas,바닥,底
box,boîte,상자,ボックス
boy,garçon,소년,男の子
break,Pause,단절,ブレーク
brief,bref,간결한,簡潔な
brilliant,brillant,훌륭한,ブリリアント
bring,apporter,가져오다,持参
Britain,Bretagne,영국,英国
brother,frère,동료,兄
budget,budget,예산,予算
build,construire,짓다,建てる
bus,autobus,버스,バス
business,Entreprise,사업,ビジネス
busy,occupé,바쁜,忙しい
but,mais,그러나,しかし
buy,acheter,사다,購入
by,par,으로,によって
cake,gâteau,케이크,ケーキ
call,appel,요구,コール
can,pouvez,양철통,できる
car,voiture,차,車
card,carte,카드,カード
care,se soucier,케어,ケア
carry,porter,나르다,キャリー
case,Cas,케이스,場合
cat,chat,고양이,ネコ
catch,capture,잡기,キャッチ
cause,cause,원인,原因
cent,cent,센트,セント
centre,centre,센터,センター
certain,certain,어떤,確かな
chair,chaise,의자,椅子
chairman,président,의장,会長
chance,chance,기회,チャンス
change,changement,변화,変化する
chap,type,녀석,チャップ
character,personnage,캐릭터,キャラクター
charge,charge,요금,電荷
cheap,pas cher,싼,安いです
check,vérifier,검사,チェック
child,enfant,어린이,子
choice,choix,선택,選択
choose,choisir,고르다,選ぶ
Christ,Christ,그리스도,キリスト
Christmas,Noël,크리스마스,クリスマス
church,église,교회에,教会
city,ville,시티,シティ
claim,prétendre,청구,請求
class,classe,수업,クラス
clean,nettoyer,깨끗한,クリーン
clear,clair,명확한,クリア
client,client,고객,クライアント
clock,l'horloge,시계,クロック
close,Fermer,닫기,閉じる
closes,se ferme,마감,閉じます
clothe,vêtir,덮다,服を着る
club,club,클럽,クラブ
coffee,café,커피,コーヒー
cold,du froid,감기,コールド
colleague,collègue,동료,同僚
collect,collecte,수집,集める
college,Université,칼리지,カレッジ
colour,Couleur,색깔,色
come,viens,왔다,来て
comment,commentaire,논평,コメント
commit,commettre,범하다,コミット
committee,Comité,위원회,委員会
common,commun,공유지,一般
community,communauté,커뮤니티,コミュニティ
company,entreprise,회사,会社
compare,comparer,비교,比べる
complete,Achevée,완전한,コンプリート
compute,calculer,계산하다,計算する
concern,préoccupation,관심사,懸念
condition,état,조건,調子
confer,conférer,봉하다,与える
consider,considérer,중히 여기다,考える
consult,consulter,찾다,相談する
contact,contact,접촉,接触
continue,continuer,잇다,持続する
contract,Contrat,계약,契約する
control,contrôle,제어,コントロール
converse,converser,반대,逆
cook,cuisinier,쿡,クック
copy,copie,부,コピー
corner,coin,모서리,コーナー
correct,correct,옳은,正しい
cost,Coût,비용,コスト
could,pourrait,할 수 있었다,できた
council,conseil,이사회,評議会
count,compter,카운트,カウント
country,pays,국가,国
county,comté,군,郡
couple,couple,두,カップル
course,cours,코스,コース
court,tribunal,법정,裁判所
cover,couverture,덮개,カバー
create,créer,몹시 떠들어 대다,作成する
cross,traverser,십자가,クロス
cup,tasse,컵,カップ
current,actuel,흐름,現在
cut,Couper,절단,カット
dad,papa,아빠,パパ
danger,danger,위험,危険
date,rendez-vous amoureux,날짜,日付
day,journée,일,日
dead,morte,죽은,デッド
deal,traiter,거래,対処
dear,chère,소중한,親愛な
debate,débat,토론,ディベート
decide,décider,결정하다,決めます
decision,décision,결정,決定
deep,Profond,깊은,深い
definite,précis,명확한,明確な
degree,diplôme,정도,度
department,département,학과,部門
depend,dépendre,의존하다,依存する
describe,décrire,묘사하다,記述する
design,conception,디자인,設計
detail,détail,세부 묘사,細部
develop,développer,나타나게 하다,開発する
die,mourir,주사위,死ぬ
difference,différence,차,差
difficult,difficile,어려운,難しい
dinner,dîner,공식 만찬,ディナー
direct,direct,곧장,直接
discuss,discuter,즐기며 먹다,話し合います
district,district,지구,地区
divide,diviser,분할,割る
do,faire,해야 할 것,行う
doctor,médecin,의사,医師
document,document,문서,資料
dog,chien,개,犬
door,porte,문,ドア
double,double,더블,ダブル
doubt,doute,의심,疑問に思う
down,vers le bas,내려가는,ダウン
draw,dessiner,무승부,ドロー
dress,robe,드레스,ドレス
drink,boisson,음주,ドリンク
drive,conduire,드라이브,ドライブ
drop,laissez tomber,하락,ドロップ
dry,sec,마른,ドライ
due,dû,정당한,期限
during,pendant,...동안,中に
each,chaque,마다,各
early,de bonne heure,이른,早い
east,est,동쪽,東
easy,facile,쉬운,かんたん
eat,manger,먹다,食べる
economy,économie,경제,経済
educate,éduquer,기르다,教育する
effect,effet,효과,効果
egg,Oeuf,계란,卵
eight,huit,여덟,8
either,non plus,어느 한 쪽,どちらか
elect,élire,선택된,選出する
electric,électrique,전기 같은,電気の
eleven,Onze,열한,十一
else,autre,그밖에,他に
employ,employer,고용,雇う
encourage,encourager,북돋우다,奨励します
end,fin,종료,終わり
engine,moteur,엔진,エンジン
English,Anglais,영어,英語
enjoy,prendre plaisir,즐겨,楽しい
enough,suffisant,충분히,十分な
enter,entrer,들어가다,入る
environment,environnement,환경,環境
equal,égal,같은,等しい
especial,particulier,특별한,特別な
Europe,L'Europe ,유럽,ヨーロッパ
even,même,조차,でも
evening,soir,저녁,イブニング
ever,déjà,이제까지,今まで
every,chaque,...마다,毎回
evidence,preuve,증거,証拠
exact,exact,정확한,正確な
example,Exemple,예,例
except,sauf,외,を除く
excuse,excuse,변명,言い訳
exercise,exercice,운동,運動
exist,exister,있다,存在する
expect,attendre,배고 있다,期待する
expense,frais,비용,費用
experience,expérience,경험,経験
explain,Explique,설명,説明する
express,Express,표하다,急行する
extra,supplémentaire,특별한,余分な
eye,œil,눈,眼
face,visage,얼굴,面
fact,fait,것,事実
fair,juste,공정한,公平
fall,tomber,가을,秋
family,famille,가족,家族
far,loin,멀리,遠い
farm,ferme,농장,ファーム
fast,vite,빠른,速い
father,père,아버지,お父さん
favour,favoriser,호의,好意
feed,alimentation,먹이,フィード
feel,ressentir,느낌,感じる
few,peu,조금,少ない
field,champ,들,フィールド
fight,bats toi,싸움,戦い
figure,figure,그림,図
file,fichier,파일,ファイル
fill,remplir,가득 따르다,埋める
film,film,필름,膜
final,final,결정적인,最後の
finance,la finance,재원,ファイナンス
find,trouver,발견,見つける
fine,bien,벌금,元気
finish,terminer,끝,仕上げる
fire,Feu,불,火災
first,premier,먼저,最初
fish,poisson,물고기,魚
fit,en forme,적당한,フィット
five,cinq,다섯,五
flat,appartement,플랫,平らな
floor,sol,바닥,床
fly,voler,파리,飛ぶ
follow,suivre,따르다,従う
food,aliments,식품,フード
foot,pied,발,足
for,pour,...에 대한,にとって
force,Obliger,힘,力
forget,oublier,잊다,忘れる
form,forme,형태,形
fortune,fortune,재산,幸運
forward,vers l'avant,앞으로,進む
four,quatre,네,四
France,France,프랑스,フランス
free,libre,비어 있는,無料
Friday,Vendredi,금요일,金曜日
friend,ami,친구,友だち
from,de,...에서,から
front,de face,앞,前面
full,plein,완전한,一杯
fun,amusement,장난,楽しい
function,une fonction,기능,関数
fund,fonds,축적,基金
further,plus loin,더욱이,さらに
future,futur,미래,未来
game,Jeu,경기,ゲーム
garden,jardin,정원,庭園
gas,gaz,가스,ガス
general,général,일반,一般的な
Germany,Allemagne,독일,ドイツ
get,obtenir,도망,取得する
girl,fille,소녀,女の子
give,donner,주기,与える
glass,verre,유리,ガラス
go,aller,가기,行く
god,Dieu,하나님,神
good,bien,좋은,良い
goodbye,Au revoir,안녕,さようなら
govern,gouverne,지배하다,統治する
grand,grandiose,중요한,壮大な
grant,subvention,부여,付与
great,génial,큰,すばらしいです
green,vert,녹색,緑
ground,sol,바닥,接地
group,groupe,그룹,グループ
grow,croître,자라다,成長する
guess,deviner,추측,推測
guy,gars,사람,男
hair,cheveux,머리,ヘア
half,moitié,절반,ハーフ
hall,salle,홀,ホール
hand,main,손,ハンド
hang,pendre,다루는 법,ハング
happen,se produire,우연히 있다,起こる
happy,heureux,행복,ハッピー
hard,difficile,단단한,ハード
hate,haine,미움,嫌い
have,avoir,있다,持ってる
he,il,그,彼
head,tête,머리,頭
health,santé,건강,健康
hear,entendre,듣다,聞く
heart,cœur,심장,心臓
heat,chaleur,열,熱
heavy,lourd,무거운,ヘビー
hell,enfer,지옥,地獄
help,Aidez-moi,도움,助けて
here,ici,이리,ここに
high,haute,높은,高い
history,l'histoire,역사,歴史
hit,frappé,히트,ヒット
hold,tenir,보류,ホールド
holiday,vacances,휴일,休日
home,maison,집,ホーム
honest,honnête,정직한,正直
hope,espérer,기대,希望
horse,cheval,말,うま
hospital,hôpital,병원,病院
hot,chaud,뜨거운,ホット
hour,heure,시간,時
house,maison,집,家
how,Comment,방법,どうやって
however,toutefois,하나,しかしながら
hullo,Tiens,훌로,ハルロ
hundred,cent,백,百
husband,mari,남편,夫
idea,idée,생각,アイディア
identify,identifier,식별하다,識別する
if,si,만약,もし
imagine,imaginer,상상하다,想像する
important,important,중대한,重要
improve,améliorer,돌리다,改善する
in,dans,...에서,に
include,comprendre,포함,含める
income,le revenu,수입,所得
increase,augmenter,증가하다,増加する
indeed,effectivement,과연,確かに
individual,individuel,개인,個々
industry,industrie,산업,業界
inform,informer,알리다,知らせる
inside,à l'intérieur,내부,内部
instead,au lieu,대신에,代わりに
insure,assurer,안전하게 하다,保険をかける
interest,intérêt,관심,興味
into,dans,으로,に
introduce,présenter,끼워 넣다,紹介する
invest,investir,사다,投資する
involve,impliquer,감다,関与する
issue,problème,발행물,問題
it,il,그것,それ
item,article,목,項目
Jesus,Jésus,예수,イエス
job,emploi,일,ジョブ
join,joindre,어울리다,参加する
judge,juge,판사,裁判官
jump,saut,도약,ジャンプ
just,juste,다만,ただ
keep,garder,유지,キープ
key,clé,키,キー
kid,enfant,아이,キッド
kill,tuer,죽이다,殺します
kind,gentil,종류,種類
king,Roi,왕,キング
kitchen,cuisine,부엌,キッチン
knock,frappe,노크,ノック
know,savoir,알고있다,知っている
labour,la main d'oeuvre,노동,労働
lad,garçon,젊은이,若者
lady,Dame,레이디,レディ
land,terre,땅,土地
language,la langue,언어,言語
large,grand,큰,大
last,dernier,마지막,最終
late,en retard,늦은,遅い
laugh,rire,웃음,笑い
law,loi,법,法律
lay,allonger,위치,横たわる
lead,conduire,리드,鉛
learn,apprendre,배우다,学ぶ
leave,laisser,휴가,去る
left,la gauche,왼쪽,左
leg,jambe,다리,脚
less,Moins,적게,もっと少なく
let,laisser,방해,させる
letter,lettre,편지,文字
level,niveau,수평,レベル
lie,mensonge,거짓말,うそをつく
life,la vie,생명,生活
light,lumière,빛,光
like,comme,처럼,のような
likely,probable,아마도,たぶん
limit,limite,한도,限定
line,ligne,선,ライン
link,lien,링크,リンク
list,liste,명부,リスト
listen,écoute,들리다,聴く
little,peu,작은,少し
live,vivre,살고 있다,ライブ
load,charge,하중,負荷
local,local,노동 조합 지부,地元
lock,fermer à clé,자물쇠,ロック
London,Londres,런던,ロンドン
long,longue,긴,長いです
look,Regardez,보기,見て
lord,Seigneur,지배자,主
lose,perdre,잃다,失う
lot,lot,제비,たくさん
love,amour,애정,愛
low,faible,낮은,低い
luck,la chance,운,運
lunch,le déjeuner,점심,ランチ
machine,machine,기계,機械
main,principale,본관,メイン
major,Majeur,주요한,メジャー
make,faire,하다,作る
man,homme,남자,おとこ
manage,gérer,꾸리다,管理する
many,beaucoup,많은,たくさんの
mark,marque,표,マーク
market,marché,시장,市場
marry,marier,얻다,結婚する
match,rencontre,시합,一致
matter,matière,문제,事柄
may,mai,할 수있다,5月
maybe,peut être,아마도,多分
mean,signifier,평균,平均
meaning,sens,의미,意味
measure,mesure,법안,測る
meet,rencontrer,만나다,会う
member,membre,회원,メンバー
mention,mention,언급하다,言及する
middle,milieu,중간,中間
might,pourrait,힘,かもしれない
mile,mile,마일,マイル
milk,Lait,우유,ミルク
million,million,백만,百万
mind,esprit,마음,マインド
minister,ministre,장관,大臣
minus,moins,마이너스,マイナス
minute,minute,분,分
miss,manquer,미스...,ミス
mister,Monsieur,선생,ミスター
moment,moment,순간,一瞬
Monday,Lundi,월요일,月曜
money,argent,돈,お金
month,mois,달,月
more,plus,더,もっと
morning,Matin,아침,朝
most,plus,가장,最も
mother,mère,어머니,母
motion,mouvement,운동,モーション
move,bouge toi,움직임,動く
Mrs.|Mrs,Mme | Mme,부인 | 부인,夫人|夫人
much,beaucoup,많은,ずっと
music,la musique,음악,音楽
must,doit,절대로 필요한 것,しなければならない
name,prénom,이름,名
nation,nation,민족,国家
nature,la nature,자연,自然
near,près,가까운,近く
necessary,nécessaire,필요한,必要
need,avoir besoin,필요한 것,必要
never,jamais,못,決して
new,Nouveau,새로운,新しい
news,nouvelles,뉴스,ニュース
next,suivant,다음 것,次
nice,agréable,좋은,いいね
night,nuit,밤,夜
nine,neuf,아홉,九
no,non,아니,いや
non,non,비,非
none,aucun,none,無し
normal,Ordinaire,표준,普通の
north,Nord,북쪽,北
not,ne pas,아니,じゃない
note,Remarque,노트,注意
notice,remarquer,주의,通知
now,à présent,지금,今
number,nombre,번호,数
obvious,évident,분명한,明らか
occasion,occasion,기회,機会
odd,impair,이상한,奇妙な
of,de,의,の
off,de,떨어져서,オフ
offer,offre,제공,提供
office,Bureau,사무실,事務所
often,souvent,자주,しばしば
okay,d'accord,괜찮아,はい
old,vieux,늙은,古い
on,sur,...에,に
once,une fois que,일단,一回
one,un,하나,1
only,seulement,만,のみ
open,ouvrir,열다,開いた
operate,fonctionner,작동,作動する
opportunity,opportunité,기회,機会
oppose,s'opposer,대들다,反対する
or,ou,또는,または
order,ordre,주문,注文
organize,organiser,구성,整理する
original,original,기발한,元の
other,autre,다른,その他
otherwise,autrement,그렇지 않으면,さもないと
ought,devrait,영,はず
out,en dehors,아웃,でる
over,plus de,위에,以上
own,posséder,개인적인,自分の
pack,pack,팩,パック
page,page,페이지,ページ
paint,peindre,페인트,ペイント
pair,paire,쌍,ペア
paper,papier,종이,紙
paragraph,paragraphe,절,段落
pardon,pardon,용서,恩赦
parent,parent,부모의,親
park,parc,공원,パーク
part,partie,부품,部
particular,particulier,특별한,特定の
party,fête,파티,パーティー
pass,passer,패스,パス
past,passé,과거,過去
pay,Payer,지불,支払う
pence,pence,펜스,ペンス
pension,Pension,연금,年金
people,personnes,사람들,人
per,par,당,あたり
percent,pour cent,퍼센트,パーセント
perfect,parfait,완전한,完璧な
perhaps,peut-être,혹시,たぶん
period,période,기간,期間
person,la personne,사람,人
photograph,photographier,사진,写真
pick,choisir,선택,ピック
picture,image,그림,画像
piece,pièce,조각,ピース
place,endroit,장소,場所
plan,plan,계획,計画
play,jouer,놀이,遊びます
please,S'il vous plaît,부디,お願いします
plus,plus,...을 더한,プラス
point,point,포인트,ポイント
police,police,경찰,警察
policy,politique,정책,政策
politic,politique,적절한,政治的
poor,pauvre,가난한,貧しい
position,position,위치,ポジション
positive,positif,양,ポジティブ
possible,possible,가능한,可能
post,poster,우편,役職
pound,livre,파운드,ポンド
power,Puissance,힘,パワー
practise,entraine toi,연습,練習
prepare,préparer,준비하다,準備する
present,présent,선물,プレゼント
press,presse,프레스,押す
pressure,pression,압력,圧力
presume,présumer,추정하다,推定する
pretty,jolie,예쁜,きれいな
previous,précédent,너무 이른,前
price,prix,가격,価格
print,impression,인쇄,印刷する
private,privé,은밀한,プライベート
probable,probable,유망한 후보자,たぶん
problem,problème,문제,問題
proceed,procéder,발하다,進む
process,processus,방법,プロセス
produce,produire,생기게 하다,作物
product,produit,생성물,製品
programme,programme,프로그램,プログラム
project,projet,계획,プロジェクト
proper,correct,적절한,適切な
propose,proposer,제안하다,提案する
protect,protéger,보호,守る
provide,fournir,제공하다,提供する
public,Publique,공공의,パブリック
pull,tirez,손잡이,引く
purpose,objectif,목적,目的
push,pousser,푸시,押す
put,mettre,놓다,プット
quality,qualité,품질,品質
quarter,trimestre,쿼터,四半期
question,question,의문,質問
quick,rapide,빨리,速い
quid,chique,한 번 씹는 분량,頭の良いです
quiet,silencieux,조용한,静か
quite,assez,아주,かなり
radio,radio,라디오,無線
rail,rail,레일,レール
raise,élever,증가,上げる
range,intervalle,범위,範囲
rate,taux,율,レート
rather,plutôt,차라리,むしろ
read,lis,독서,読む
ready,prêt,준비된,準備ができて
real,réal,레알,リアル
realise,prendre conscience de,깨닫다,実現する
really,vraiment,정말,本当に
reason,raison,이유,理由
receive,recevoir,받다,受け取る
recent,récent,충적세,最近
reckon,compter,세다,計算する
recognize,reconnaître,인정하다,認める
recommend,recommander,권하다,お勧め
record,record,기록,記録
red,rouge,빨간,赤
reduce,réduire,줄이다,減らす
refer,référer,부치다,参照する
regard,ce qui concerne,관련,よろしく
region,Région,부위,領域
relation,relation,관계,関係
remember,rappelles toi,생각해 내다,覚えている
report,rapport,보고서,報告書
represent,représenter,말하다,代表する
require,exiger,요구하다,要求する
research,recherche,연구,研究
resource,Ressource,의지,リソース
respect,le respect,존경,尊敬
responsible,responsable,책임,責任者
rest,du repos,휴식,残り
result,résultat,결과,結果
return,revenir,반환,帰る
rid,débarrasser,구하다,取り除く
right,droite,권리,右
ring,bague,반지,リング
rise,monter,오르기,上昇
road,route,도로,道路
role,rôle,역할,役割
roll,rouleau,롤,ロール
room,pièce,방,ルーム
round,rond,일주,円形
rule,règle,규칙,ルール
run,courir,운영,走る
safe,sûr,안전한,安全
sale,vente,판매,販売
same,même,같은,同じ
Saturday,samedi,토요일,土曜日
save,enregistrer,구하다,保存する
say,dire,말하다,いう
scheme,schème,계획,スキーム
school,école,학교,学校
science,science,과학,科学
score,But,점수,スコア
Scotland,Écosse,스코틀랜드,スコットランド
seat,siège,좌석,シート
second,seconde,둘째,第二
secretary,secrétaire,비서,秘書
section,section,섹션,セクション
secure,garantir,안전한,安全な
see,voir,만나다,見る
seem,sembler,보다,思われる
self,soi,본인,自己
sell,vendre,팔다,売る
send,envoyer,보내다,送る
sense,sens,감각,感覚
separate,séparé,갈라진,別れる
serious,sérieux,진지한,真面目な
serve,servir,서브,仕える
service,un service,서비스,サービス
set,ensemble,세트,セット
settle,régler,가리다,落ち着く
seven,Sept,일곱,セブン
sex,sexe,섹스,性別
shall,doit,하여야 한다,しなければならない
share,partager,몫,シェア
she,elle,여자,彼女
sheet,drap,시트,シート
shoe,chaussure,구두,靴
shoot,tirer,사격,シュート
shop,boutique,가게,ショップ
short,court,짧은,ショート
should,devrait,할까요,すべき
show,spectacle,보여 주다,見せる
shut,fermer,닫은,シャット
sick,malade,고약한,病気
side,côté,측면,側
sign,signe,기호,符号
similar,similaire,비슷한,同様の
simple,simple,단순한,シンプルな
since,puisque,이후,以来
sing,chanter,노래,歌う
single,unique,단일,シングル
sir,Monsieur,경,先生
sister,sœur,여자 형제,シスター
sit,asseoir,앉다,座る
site,site,대지,サイト
situate,situer,...을 놓다,位置づける
six,six,육,六
size,Taille,크기,サイズ
sleep,sommeil,자다,睡眠
slight,légère,근소한,わずかな
slow,lent,느린,スロー
small,petit,작은,小さい
smoke,fumée,연기,煙
so,alors,그래서,そう
social,social,사회적인,ソーシャル
society,société,사회,社会
some,certains,약간,一部
son,fils,아들,息子
soon,bientôt,곧,すぐに
sorry,Pardon,죄송합니다,ごめんなさい
sort,Trier,종류,ソート
sound,du son,소리,音
south,Sud,남쪽,南
space,espace,공간,スペース
speak,parler,말하다,話す
special,spécial,특별한,特殊
specific,spécifique,특유한,特定
speed,la vitesse,속도,速度
spell,épeler,주문,スペル
spend,dépenser,보내,費やす
square,carré,광장,平方
staff,Personnel,직원,スタッフ
stage,étape,단계,ステージ
stairs,escaliers,계단,階段
stand,supporter,대,スタンド
standard,la norme,표준,標準
start,début,스타트,開始
state,Etat,상태,状態
station,gare,역,駅
stay,rester,머무르다,滞在
step,étape,단계,ステップ
stick,bâton,스틱,スティック
still,encore,아직도,まだ
stop,Arrêtez,중지,やめる
story,récit,이야기,ストーリー
straight,tout droit,직진,まっすぐ
strategy,stratégie,계략,戦略
street,rue,거리,通り
strike,la grève,스트라이크,ストライク
strong,fort,강한,強い
structure,structure,구조,構造
student,étudiant,학생,学生
study,étude,연구,調査
stuff,des trucs,물건,もの
stupid,stupide,바보,愚か
subject,assujettir,제목,件名
succeed,réussir,성공하다,成功する
such,tel,이러한,そのような
sudden,soudain,갑자기,突然
suggest,suggérer,제안하다,提案する
suit,costume,소송,スーツ
summer,été,여름,夏
sun,Soleil,태양,太陽
Sunday,dimanche,일요일,日曜日
supply,la fourniture,공급,供給
support,soutien,지원하다,サポート
suppose,supposer,가정,仮定する
sure,sûr,확실한,確かに
surprise,surprise,놀람,驚き
switch,commutateur,스위치,スイッチ
system,système,체계,システム
table,table,표,表
take,prendre,갖다,取る
talk,parler,이야기,トーク
tape,ruban,줄자,テープ
tax,impôt,세,税金
tea,thé,차,お茶
teach,apprendre,가르치다,教える
team,équipe,팀,チーム
telephone,Téléphone,전화,電話
television,télévision,텔레비전,テレビ
tell,dire,텔,伝える
ten,Dix,십,十
tend,tendre,지키다,傾向がある
term,terme,기간,期間
terrible,terrible,무서운,ひどい
test,tester,테스트,テスト
than,que,보다,より
thank,remercier,감사,感謝
the,le,그만큼,その
then,puis,그때,それから
there,Là,그곳에,そこ
therefore,donc,따라서,したがって
they,ils,그들,彼ら
thing,chose,의회,事
think,pense,생각한다,考える
thirteen,treize,열셋,13
thirty,30,서른,三十
this,ce,이,この
thou,tu,달러,なた
though,bien que,그래도,でも
thousand,mille,천,千
three,Trois,세,三
through,à travers,...을 통하여,を通して
throw,jeter,던지다,スロー
Thursday,Jeudi,목요일,木曜日
tie,attacher,넥타이,ネクタイ
time,temps,시각,時間
to,à,에,に
today,aujourd'hui,오늘,今日
together,ensemble,함께,一緒に
tomorrow,demain,내일,明日
tonight,ce soir,오늘 밤,今晩
too,aussi,너무,も
top,Haut,상단,上
total,total,합계,合計
touch,toucher,접촉,タッチ
toward,vers,...쪽으로,に向かって
town,ville,도시,タウン
trade,Commerce,무역,トレード
traffic,trafic,교통,トラフィック
train,train,기차,列車
transport,transport,수송,輸送
travel,Voyage,여행,旅行
treat,traiter,턱,扱う
tree,arbre,나무,木
trouble,difficulté,수고,トラブル
true,vrai,참된,本当
trust,confiance,믿음,信頼
try,essayer,시험,試してみる
Tuesday,Mardi,화요일,火曜日
turn,tour,회전,順番
twelve,Douze,열두,12
twenty,vingt,스물,二十
two,deux,두,二
type,type,유형,タイプ
under,sous,아래에,下
understand,comprendre,알다,わかる
union,syndicat,노동 조합,連合
unit,unité,단위,単位
unite,unir,맞잡다,団結する
university,Université,대학,大学
unless,sauf si,그렇지 않으면,でない限り
until,jusqu'à ce que,...까지,まで
up,en haut,쪽으로,アップ
upon,sur,...에,に
use,utilisation,용도,つかいます
usual,habituel,보통의,いつもの
value,valeur,값,値
various,divers,여러,いろいろ
very,très,대단히,非常に
video,vidéo,비디오,ビデオ
view,vue,전망,見る
village,village,마을,村
visit,visite,방문,訪問
vote,vote,투표,投票
wage,salaire,값,賃金
wait,attendre,기다림,待つ
walk,marche,산책,歩く
wall,mur,벽,壁
want,vouloir,필요,欲しいです
war,guerre,전쟁,戦争
warm,chaud,따뜻한,あたたかい
wash,lavage,빨래,洗う
waste,déchets,낭비,無駄
watch,regarder,손목 시계,時計
water,eau,물,水
way,façon,방법,方法
we,nous,우리,我々
wear,porter,입고 있다,着る
Wednesday,Mercredi,수요일,水曜日
wee,pipi,쉬,おしっこ
week,la semaine,주,週間
weigh,peser,달다,重くする
welcome,Bienvenue,환영,ようこそ
well,bien,잘,まあ
west,Ouest,서쪽,西
what,quoi,뭐,何
when,quand,언제,いつ
where,où,어디에,どこで
whether,qu'il s'agisse,인지 어떤지,かどうか
which,lequel,어느,どれ
while,tandis que,동안,ながら
white,blanc,화이트,白
who,qui,누구,誰
whole,entier,완전한,全体
why,Pourquoi,왜,なぜ
wide,large,넓은,ワイド
wife,femme,아내,妻
will,volonté,의지,意志
win,gagner,승리,勝つ
wind,vent,바람,風
window,la fenêtre,창문,窓
wish,souhait,소원,願う
with,avec,와,と
within,dans,이내에,内に
without,sans pour autant,없이,なしで
woman,femme,여자,女性
wonder,merveille,경이,ワンダー
wood,bois,나무,木材
word,mot,워드,ワード
work,travail,작업,作業
world,monde,세계,世界
worry,inquiéter,걱정,心配
worse,pire,보다 나쁜,ひどい
worth,vaut,가치,価値
would,aurait,할 것이다,するだろう
write,écrire,쓰다,書きます
wrong,faux,잘못된,違う
year,année,년,年
yes,Oui,예,はい
yesterday,hier,어제,昨日
yet,encore,아직,まだ
you,vous,당신,君は
young,Jeune,젊은,若い
