across,à travers,건너서,に渡って
afternoon,après midi,대낮,午後
air,air,공기,空気
along,le long de,...을 따라서,に沿って
amount,montant,양,量
apart,une part,떨어져서,離れて
apply,appliquer,대다,適用する
area,surface,지역,エリア
arm,bras,팔,腕
around,autour,약...,周り
arrange,organiser,붙이다,アレンジ
art,art,미술,アート
ask,demander,청하다,尋ねる
baby,bébé,아가,赤ちゃん
back,retour,뒤로,バック
bag,sac,가방,バッグ
balance,équilibre,균형,バランス
ball,ballon,공,玉
bank,banque,은행,バンク
bar,bar,바,バー
bear,ours,곰,くま
beauty,beauté,아름다움,美人
bed,lit,침대,ベッド
before,avant,전에,前
behind,derrière,뒤에,後ろに
between,entre,중에서,の間に
big,gros,큰,大きい
black,noir,검은,黒
bloke,type,놈,やつ
blood,du sang,피,血液
blow,coup,타격,ブロー
blue,bleu,푸른,青
boat,bateau,보트,ボート
body,corps,몸,体
book,livre,책,本
both,tous les deux,양자 모두,両方
bottle,bouteille,병,ボトル
bottom,bas,바닥,底
box,boîte,상자,ボックス
boy,garçon,소년,男の子
break,Pause,단절,ブレーク
brief,bref,간결한,簡潔な
brilliant,brillant,훌륭한,ブリリアント
bring,apporter,가져오다,持参
Britain,Bretagne,영국,英国
brother,frère,동료,兄
build,construire,짓다,建てる
bus,autobus,버스,バス
business,Entreprise,사업,ビジネス
busy,occupé,바쁜,忙しい
buy,acheter,사다,購入
cake,gâteau,케이크,ケーキ
call,appel,요구,コール
car,voiture,차,車
card,carte,카드,カード
carry,porter,나르다,キャリー
case,Cas,케이스,場合
cat,chat,고양이,ネコ
catch,capture,잡기,キャッチ
centre,centre,센터,センター
chair,chaise,의자,椅子
change,changement,변화,変化する
character,personnage,캐릭터,キャラクター
cheap,pas cher,싼,安いです
child,enfant,어린이,子
church,église,교회에,教会
city,ville,시티,シティ
class,classe,수업,クラス
clean,nettoyer,깨끗한,クリーン
clear,clair,명확한,クリア
client,client,고객,クライアント
clock,l'horloge,시계,クロック
close,Fermer,닫기,閉じる
club,club,클럽,クラブ
coffee,café,커피,コーヒー
cold,du froid,감기,コールド
colleague,collègue,동료,同僚
collect,collecte,수집,集める
college,Université,칼리지,カレッジ
colour,Couleur,색깔,色
common,commun,공유지,一般
community,communauté,커뮤니티,コミュニティ
company,entreprise,회사,会社
compare,comparer,비교,比べる
complete,Achevée,완전한,コンプリート
compute,calculer,계산하다,計算する
condition,état,조건,調子
contact,contact,접촉,接触
continue,continuer,잇다,持続する
contract,Contrat,계약,契約する
control,contrôle,제어,コントロール
converse,converser,반대,逆
cook,cuisinier,쿡,クック
copy,copie,부,コピー
corner,coin,모서리,コーナー
council,conseil,이사회,評議会
count,compter,카운트,カウント
couple,couple,두,カップル
cover,couverture,덮개,カバー
cross,traverser,십자가,クロス
cup,tasse,컵,カップ
cut,Couper,절단,カット
dad,papa,아빠,パパ
day,journée,일,日
dead,morte,죽은,デッド
debate,débat,토론,ディベート
department,département,학과,部門
describe,décrire,묘사하다,記述する
design,conception,디자인,設計
detail,détail,세부 묘사,細部
develop,développer,나타나게 하다,開発する
dinner,dîner,공식 만찬,ディナー
divide,diviser,분할,割る
do,faire,해야 할 것,行う
doctor,médecin,의사,医師
document,document,문서,資料
dog,chien,개,犬
door,porte,문,ドア
double,double,더블,ダブル
down,vers le bas,내려가는,ダウン
draw,dessiner,무승부,ドロー
dress,robe,드레스,ドレス
drink,boisson,음주,ドリンク
drive,conduire,드라이브,ドライブ
drop,laissez tomber,하락,ドロップ
dry,sec,마른,ドライ
early,de bonne heure,이른,早い
eat,manger,먹다,食べる
educate,éduquer,기르다,教育する
egg,Oeuf,계란,卵
eight,huit,여덟,8
electric,électrique,전기 같은,電気の
eleven,Onze,열한,十一
end,fin,종료,終わり
engine,moteur,엔진,エンジン
enjoy,prendre plaisir,즐겨,楽しい
enter,entrer,들어가다,入る
environment,environnement,환경,環境
equal,égal,같은,等しい
even,même,조차,でも
evening,soir,저녁,イブニング
example,Exemple,예,例
exercise,exercice,운동,運動
eye,œil,눈,眼
face,visage,얼굴,面
fall,tomber,가을,秋
family,famille,가족,家族
farm,ferme,농장,ファーム
fast,vite,빠른,速い
father,père,아버지,お父さん
feed,alimentation,먹이,フィード
few,peu,조금,少ない
field,champ,들,フィールド
fight,bats toi,싸움,戦い
figure,figure,그림,図
file,fichier,파일,ファイル
fill,remplir,가득 따르다,埋める
film,film,필름,膜
fine,bien,벌금,元気
fire,Feu,불,火災
fish,poisson,물고기,魚
five,cinq,다섯,五
flat,appartement,플랫,平らな
floor,sol,바닥,床
fly,voler,파리,飛ぶ
food,aliments,식품,フード
foot,pied,발,足
force,Obliger,힘,力
form,forme,형태,形
four,quatre,네,四
friend,ami,친구,友だち
front,de face,앞,前面
full,plein,완전한,一杯
game,Jeu,경기,ゲーム
garden,jardin,정원,庭園
girl,fille,소녀,女の子
give,donner,주기,与える
glass,verre,유리,ガラス
grand,grandiose,중요한,壮大な
green,vert,녹색,緑
ground,sol,바닥,接地
group,groupe,그룹,グループ
grow,croître,자라다,成長する
guy,gars,사람,男
hair,cheveux,머리,ヘア
half,moitié,절반,ハーフ
hall,salle,홀,ホール
hand,main,손,ハンド
hang,pendre,다루는 법,ハング
happy,heureux,행복,ハッピー
he,il,그,彼
head,tête,머리,頭
heart,cœur,심장,心臓
heat,chaleur,열,熱
heavy,lourd,무거운,ヘビー
here,ici,이리,ここに
high,haute,높은,高い
hold,tenir,보류,ホールド
holiday,vacances,휴일,休日
home,maison,집,ホーム
horse,cheval,말,うま
hospital,hôpital,병원,病院
hot,chaud,뜨거운,ホット
house,maison,집,家
hundred,cent,백,百
husband,mari,남편,夫
inside,à l'intérieur,내부,内部
into,dans,으로,に
it,il,그것,それ
item,article,목,項目
Jesus,Jésus,예수,イエス
join,joindre,어울리다,参加する
jump,saut,도약,ジャンプ
key,clé,키,キー
kid,enfant,아이,キッド
kill,tuer,죽이다,殺します
king,Roi,왕,キング
kitchen,cuisine,부엌,キッチン
knock,frappe,노크,ノック
lad,garçon,젊은이,若者
lady,Dame,레이디,レディ
land,terre,땅,土地
large,grand,큰,大
laugh,rire,웃음,笑い
lay,allonger,위치,横たわる
leave,laisser,휴가,去る
left,la gauche,왼쪽,左
leg,jambe,다리,脚
less,Moins,적게,もっと少なく
letter,lettre,편지,文字
level,niveau,수평,レベル
lie,mensonge,거짓말,うそをつく
light,lumière,빛,光
line,ligne,선,ライン
link,lien,링크,リンク
list,liste,명부,リスト
little,peu,작은,少し
load,charge,하중,負荷
long,longue,긴,長いです
look,Regardez,보기,見て
lot,lot,제비,たくさん
low,faible,낮은,低い
lunch,le déjeuner,점심,ランチ
machine,machine,기계,機械
make,faire,하다,作る
man,homme,남자,おとこ
many,beaucoup,많은,たくさんの
mark,marque,표,マーク
market,marché,시장,市場
marry,marier,얻다,結婚する
match,rencontre,시합,一致
measure,mesure,법안,測る
middle,milieu,중간,中間
mile,mile,마일,マイル
milk,Lait,우유,ミルク
million,million,백만,百万
miss,manquer,미스...,ミス
mister,Monsieur,선생,ミスター
money,argent,돈,お金
morning,Matin,아침,朝
mother,mère,어머니,母
motion,mouvement,운동,モーション
move,bouge toi,움직임,動く
much,beaucoup,많은,ずっと
music,la musique,음악,音楽
nature,la nature,자연,自然
near,près,가까운,近く
new,Nouveau,새로운,新しい
news,nouvelles,뉴스,ニュース
night,nuit,밤,夜
nine,neuf,아홉,九
none,aucun,none,無し
number,nombre,번호,数
office,Bureau,사무실,事務所
old,vieux,늙은,古い
one,un,하나,1
open,ouvrir,열다,開いた
operate,fonctionner,작동,作動する
organize,organiser,구성,整理する
other,autre,다른,その他
out,en dehors,아웃,でる
over,plus de,위에,以上
pack,pack,팩,パック
page,page,페이지,ページ
paint,peindre,페인트,ペイント
pair,paire,쌍,ペア
paper,papier,종이,紙
parent,parent,부모의,親
park,parc,공원,パーク
part,partie,부품,部
party,fête,파티,パーティー
pay,Payer,지불,支払う
people,personnes,사람들,人
person,la personne,사람,人
photograph,photographier,사진,写真
pick,choisir,선택,ピック
picture,image,그림,画像
piece,pièce,조각,ピース
place,endroit,장소,場所
plan,plan,계획,計画
play,jouer,놀이,遊びます
point,point,포인트,ポイント
police,police,경찰,警察
poor,pauvre,가난한,貧しい
position,position,위치,ポジション
pretty,jolie,예쁜,きれいな
print,impression,인쇄,印刷する
produce,produire,생기게 하다,作物
product,produit,생성물,製品
pull,tirez,손잡이,引く
push,pousser,푸시,押す
put,mettre,놓다,プット
quick,rapide,빨리,速い
radio,radio,라디오,無線
rail,rail,레일,レール
raise,élever,증가,上げる
range,intervalle,범위,範囲
read,lis,독서,読む
record,record,기록,記録
red,rouge,빨간,赤
report,rapport,보고서,報告書
resource,Ressource,의지,リソース
rest,du repos,휴식,残り
result,résultat,결과,結果
return,revenir,반환,帰る
right,droite,권리,右
ring,bague,반지,リング
rise,monter,오르기,上昇
road,route,도로,道路
room,pièce,방,ルーム
round,rond,일주,円形
run,courir,운영,走る
say,dire,말하다,いう
school,école,학교,学校
science,science,과학,科学
seat,siège,좌석,シート
secretary,secrétaire,비서,秘書
sell,vendre,팔다,売る
separate,séparé,갈라진,別れる
seven,Sept,일곱,セブン
she,elle,여자,彼女
sheet,drap,시트,シート
shoe,chaussure,구두,靴
shoot,tirer,사격,シュート
shop,boutique,가게,ショップ
short,court,짧은,ショート
shut,fermer,닫은,シャット
sick,malade,고약한,病気
sign,signe,기호,符号
simple,simple,단순한,シンプルな
sing,chanter,노래,歌う
sister,sœur,여자 형제,シスター
sit,asseoir,앉다,座る
six,six,육,六
size,Taille,크기,サイズ
sleep,sommeil,자다,睡眠
slow,lent,느린,スロー
small,petit,작은,小さい
smoke,fumée,연기,煙
son,fils,아들,息子
space,espace,공간,スペース
speak,parler,말하다,話す
speed,la vitesse,속도,速度
square,carré,광장,平方
staff,Personnel,직원,スタッフ
stage,étape,단계,ステージ
stairs,escaliers,계단,階段
stand,supporter,대,スタンド
start,début,스타트,開始
station,gare,역,駅
step,étape,단계,ステップ
stick,bâton,스틱,スティック
stop,Arrêtez,중지,やめる
straight,tout droit,직진,まっすぐ
street,rue,거리,通り
strong,fort,강한,強い
structure,structure,구조,構造
student,étudiant,학생,学生
stuff,des trucs,물건,もの
suit,costume,소송,スーツ
summer,été,여름,夏
sun,Soleil,태양,太陽
system,système,체계,システム
table,table,표,表
take,prendre,갖다,取る
talk,parler,이야기,トーク
tape,ruban,줄자,テープ
tea,thé,차,お茶
team,équipe,팀,チーム
telephone,Téléphone,전화,電話
television,télévision,텔레비전,テレビ
ten,Dix,십,十
thirteen,treize,열셋,13
thirty,30,서른,三十
thousand,mille,천,千
three,Trois,세,三
through,à travers,...을 통하여,を通して
throw,jeter,던지다,スロー
tie,attacher,넥타이,ネクタイ
top,Haut,상단,上
touch,toucher,접촉,タッチ
toward,vers,...쪽으로,に向かって
town,ville,도시,タウン
traffic,trafic,교통,トラフィック
train,train,기차,列車
transport,transport,수송,輸送
travel,Voyage,여행,旅行
tree,arbre,나무,木
turn,tour,회전,順番
twelve,Douze,열두,12
twenty,vingt,스물,二十
two,deux,두,二
under,sous,아래에,下
university,Université,대학,大学
up,en haut,쪽으로,アップ
use,utilisation,용도,つかいます
video,vidéo,비디오,ビデオ
view,vue,전망,見る
village,village,마을,村
walk,marche,산책,歩く
wall,mur,벽,壁
war,guerre,전쟁,戦争
warm,chaud,따뜻한,あたたかい
wash,lavage,빨래,洗う
watch,regarder,손목 시계,時計
water,eau,물,水
weigh,peser,달다,重くする
white,blanc,화이트,白
whole,entier,완전한,全体
wide,large,넓은,ワイド
wife,femme,아내,妻
wind,vent,바람,風
window,la fenêtre,창문,窓
woman,femme,여자,女性
wood,bois,나무,木材
work,travail,작업,作業
write,écrire,쓰다,書きます
young,Jeune,젊은,若い
