a boy playing,un garçon qui joue,노는 소년,遊んでいる少年
a cartoon animal runs through an ice cave,un animal traverse une grotte de glace dans un dessin animé,만화 동물은 얼음 동굴을 통해 실행,漫画の動物が氷の洞窟を駆け抜ける
a girl eats ice cream,une fille mange de la glace,여자 아이가 아이스크림을 먹는다,女の子がアイスクリームを食べる
a man driving a red car ,un homme conduit une voiture rouge,빨간 차를 운전하는 사람,赤い車を運転する男
a man playing football,un homme jouant au au foot,축구를하는 사람,サッカーをしている男
a man rides a car,Un homme conduit une voiture,한 남자가 차를 타다,男は車に乗る
a man with a dog,Un homme avec un chien,개를 가진 남자,犬と男
a man withdrawing money from atm,Un homme retire de l'argent d'un distributeur,현금 지급기에서 돈을 인출 한 사람,ATMからお金を引き出す人
a women wearing red dress,une femme en robe rouge,빨간 옷을 입은 여자,赤いドレスを着ている女性
add pickle,ajoutez des cornichon,피클 추가,漬物を加える
add water,ajoutez de l'eau,물을 더하다,水を加える
air conditionning,Air conditionné,에어컨,エアコン
airplane,avion,비행기,飛行機
alcohol,de l'alcool,알코올,アルコール
animal,animal,동물,動物
animal dancing,des animaux qui dansent,동물 춤,動物ダンス
apply cream on face,appliquer la crème sur le visage,얼굴에 크림을 바르십시오,顔にクリームを塗る
apply lipstick ,appliquer du rouge à lèvres,립스틱을 바르십시오,口紅を塗る
apply nail polish,mettre du vernis à ongles,매니큐어를 바른다,マニキュアを塗る
apply the glue,appliquer la colle,접착제를 적용,接着剤を塗る
assemble burger,assembler un Burger,버거 조립,バーガーを組み立てる
attach saddle horse,mettre une selle de cheval,안장 말을 부착,サドルホースを取り付ける
autonomous car,voiture autonome,자율 주행 차,自動運転車
autonomous vehicle,véhicule autonome,자율 주행 차,自動運転車
avocado sandwich,sandwich à l'avocat,아보카도 샌드위치,アボカドサンドイッチ
baby crying,bébé qui pleure,우는 아기,泣いている赤ちゃん
bake a cake,faire cuire un gâteau,케이크를 굽다,ケーキを焼く
bake pie,faire cuire une tarte,파이를 굽다,パイを焼く
ball bouncing by the cat,balle qui rebondit par le chat,고양이가 튀는 공,猫に跳ね返るボール
barbecue pork rib,Côte de porc au barbecue,바베큐 돼지 갈비,バーベキューポークリブ
batteries aa,piles aa,배터리 AA,バッテリー単3
beach,plage,바닷가,ビーチ
beach wave,vague,해변 파도,ビーチ波
bear in the wild,ours dans la nature,야생 곰,野生のクマ
beautiful landscape,beau paysage,아름다운 풍경,美しい風景
bike accident,accident de vélo,자전거 사고,自転車事故
bike brake fixing,réparation de frein de vélo,자전거 브레이크 고정,自転車ブレーキ固定
Bike fixing,réparation de vélo,자전거 고정,自転車固定
bike wheel,roue de velo,자전거 바퀴,自転車の車輪
bird,oiseau,새,鳥
bird origami,origami d'oiseau,새 종이 접기,鳥の折り紙
bird pecking at wood,oiseau picorant du bois,나무에서 쪼아 새,木をつつく鳥
black tea,thé noir,홍차,紅茶
blend strawberries,mixer des fraises,블렌드 딸기,いちごをブレンド
blond hair,cheveux blonds,금발,金髪
blow hair,sécher les cheveux,머리를 날려,ブローヘア
blue purse,sac à main bleu,파란색 지갑,青い財布
boat,bateau,보트,ボート
bowl,bol,사발,ボウル
boy dancing,garçon qui danse,소년 춤,踊る少年
brew coffee,moudre du café,양조 커피,醸造コーヒー
broom hair,faire un balayage de cheveux,빗자루 머리,ほうきの毛
browsing the internet,naviguer sur internet,인터넷 브라우징,インターネットの閲覧
brushing teeth,brosser les dents,양치질,歯磨き
brusht teeth,se laver les dents,양치질,歯ブラシ
build a bed,construire un lit,침대를 만들다,ベッドを作る
build a fan,fabriquer un ventilateur,팬을 만들다,ファンを作ります
build a shelve,assembler un meuble,선반을 쌓다,棚を作る
build a small garden,construire un petit jardin,작은 정원을 짓다,小さな庭を建てる
build trampoline,construire un trampoline,트램폴린을 짓다,トランポリンを構築
building a house,construire une maison,집을 짓다,家を建てる
burn tree,brûler un arbre,화상 나무,木を燃やす
butter,beurre,버터,バター
cake,gâteau,케이크,ケーキ
camel,chameau,낙다,キャメル
camera,appreil photo,카메라,カメラ
candy,bonbons,사탕,キャンディー
car,voiture,차,車
car jump,saut de voiture,차 점프,車のジャンプ
car wheel,roue de voiture,자동차 바퀴,車のホイール
carrot,carotte,당근,にんじん
carve pumpkin,tailler une citrouille,호박을 개척하다,かぼちゃを彫る
cat in a bed,chat dans un lit,침대에서 고양이,ベッドの猫
cat meowing,chat qui miaule,고양이 야옹,猫の鳴き声
catch a fish,pecher un poisson,물고기를 잡다,魚を捕まえる
change a tire,changer une roue,타이어를 바꾸다,タイヤを交換する
change bike tire,changer un pneu de vélo,자전거 타이어 교체,自転車のタイヤを交換する
change car wheel,changer la roue de la voiture,자동차 바퀴를 바꾸다,車のホイールを変更する
change mattress,changer le matelas,매트리스 교체,マットレスを変える
change tier,changer de niveau,계층 변경,ティアを変更
change washer filter,changer le filtre de la laveuse,세탁기 필터 교체,ワッシャーフィルターの交換
charge tesla,charger tesla,테슬라 충전,充電テスラ
charging phone,recharcher son téléphone,전화 충전,充電中の電話
check balance,vérifier le solde,잔액 확인,バランスチェック
check blood pressure,vérifier la pression artérielle,혈압 점검,血圧をチェックする
check oil level,vérifier le niveau d'huile,오일 량 점검,オイルレベルを確認する
check voltage,vérifier la tension,전압 확인,電圧を確認してください
cheese,fromage,치즈,チーズ
chicken,poulet,치킨,チキン
chinese food,nourriture chinoise,중국 음식,中華料理
chinese noodle,nouille chinoise,중국 국수,中華麺
chinese poetry,poésie chinoise,중국시,漢詩
chocolate,Chocolat,초콜릿,チョコレート
chop finely,hacher finement,잘게 썰다,細かく刻む
chop roughly,hacher grossièrement,대충 자르다,大ざっぱに切る
chop the onion,hacher l'oignon,양파를 자르다,タマネギを切る
christmas tree,Sapin de Noël,크리스마스 트리,クリスマスツリー
clams,palourdes,조개,二枚貝
clap hand,taper des mains,박수,拍手
clean home,nettoyer la maison,깨끗한 집,きれいな家
clean table,nettoyer la table,깨끗한 테이블,きれいなテーブル
cleaning the window,laver les carreaux,창 청소,窓の掃除
climbing,escalade,등산,クライミング
close bottle,fermer la bouteille,병을 닫으십시오,ボトルを閉じる
close door,ferme la porte,문을 닫다,ドアを閉める
clouds,des nuages,구름,雲
coffee,café,커피,コーヒー
coloring and drawing,coloriage et dessin,채색 및 그림,着色と描画
computer mouse,souris d'ordinateur,컴퓨터 마우스,コンピューターのマウス
conduct a car,conduire une voiture,차를 운전하다,車を運転する
cook bacon,faire cuire le bacon,쿡 베이컨,クックベーコン
cook cake,cuire un gateau,요리사 케이크,クックケーキ
cook carrot,cuire une carotte,당근 요리,にんじんを調理する
cook chicken,faire cuire le poulet,치킨 요리,鶏肉を調理する
cook fish,faire cuire du poisson,생선 요리,魚料理
cook lobster,faire cuire le homard,랍스터 요리하다,クックロブスター
cook omellete,faire une omelette,요리하다,オムレテ料理
cook pasta,faire cuire des pâtes,쿡 파스타,パスタを調理する
cook rice,faire cuire du riz,밥을 짓다,ご飯を作ります
cook salmon,cuire le saumon,연어 요리,サーモンを調理する
cook steak,cuire le steak,쿡 스테이크,クックステーキ
cover holes in the wall,remplir les trous dans le mur,벽의 구멍을 덮다,壁の穴を塞ぐ
crack egg,casser un oeuf,계란을 깨다,卵を割る
crafts,artisanat,공예,工芸
crowd of people,foule de gens,사람들의 군중,群衆
curry,curry,카레,カレー
cut apple,couper une pomme,사과를 자르다,リンゴを切る
cut banana,couper la banane,바나나를 자르다,バナナを切る
cut cardboard,couper du carton,골판지,段ボールを切る
cut carrot,couper la carotte,당근을 잘라,にんじんを切る
cut cheese,couper du fromage,치즈를 잘라,カットチーズ
cut fish,couper du poisson,생선을 자르다,魚を切る
cut hair with scissor,couper les cheveux avec des ciseaux,가위로 머리를 자르다,はさみで髪を切る
cut in circle,coupé en cercle,원을 자르다,円を描く
cut kimchi,couper le kimchi,김치를 자르다,キムチを切る
cut meat,viande coupée,고기를 자르다,肉を切る
cut nails,couper les ongles,손톱을 자르다,爪を切る
cut onion,couper l'oignon,양파를 자르다,玉ねぎを切る
cut orange,couper l'orange,오렌지를 자르다,オレンジカット
cut paper,couper du papier,종이를 자르다,カット紙
cut paper in circle,couper le papier en cercle,종이를 원으로 자르다,円で紙を切る
cut paper in square,couper du papier en carré,정사각형으로 종이를 자르다,正方形に紙を切る
cut paper in triangle,couper du papier en triangle,삼각형으로 종이를 자르다,三角形の紙を切る
cut pineapple,couper l'ananas,파인애플을 자르다,パイナップルを切る
cut pizza,couper la pizza,피자를 자르다,ピザを切る
cut plant,couper plante,식물을 자르다,切り株
cut plant using scisor,couper la plante à l'aide d'un ciseau,가위로 식물을 자르다,はさみを使用して植物をカット
cut plant with knife,couper la plante avec un couteau,칼로 식물을 자르다,ナイフで植物を切る
cut salmon,couper le saumon,연어를 자르다,cutを切る
cut square,couper carré,정사각형을 자르다,カットスクエア
cut tomato,tomates coupées,토마토를 잘라,カットトマト
cut tree,couper un arbre,나무를 자르다,木を切る
cut vegetable,couper des légume,야채를 자르다,野菜を切る
cut wood in circle,couper du bois en cercle,원을 그리다,円で木を切る
cutting wood,couper du bois,절단 나무,木を切る
cycling,cyclisme,사이클링,サイクリング
dance macarena,danser la macarena,댄스 마카레나,ダンスマカレナ
delivering truck,camion de livraison,트럭 배달,配送トラック
dice courgette,couper des courgette en dés,주사위 애호박,サイコロズッキーニ
dice tofu,couper des dés de tofu,주사위 두부,サイコロ豆腐
dig a hole,creuser un trou,구멍을 파고,穴を掘る
dig garden,bêcher le jardin,발굴 정원,掘る庭
dining out,dîner à l'extérieur,외식,外食
disassemble phone,démonter un téléphone,전화를 분해,電話を分解する
do a backflip,faire un salto,공중제비를하다,バク転をします
dog grooming,toilettage pour chien,개 손질,犬の毛繕い
dog jump,saut de chien,개 점프,犬のジャンプ
dog running,course de chien,개 달리기,走っている犬
draw a horse,dessiner un cheval,말을 그리다,馬を描く
draw an apple,dessiner une pomme,사과를 그리다,りんごを描く
dress,robe,드레스,ドレス
dribbling basketball,dribbler au basket,드리블 농구,ドリブルバスケットボール
drill wall,percer mur,드릴 벽,ドリルウォール
drill wood,percer du bois,드릴 나무,ドリルウッド
drink coffee,boire du café,커피를 마시다,コーヒーを飲む
drink green tea,boire du thé vert,녹차를 마시다,緑茶を飲む
drink milk,boire du lait,우유를 마시다,牛乳を飲む
drink wine,boire du vin,와인을 마시다,ワインを飲む
drinking water,boire de l'eau,식수,水を飲んでいる
drive a car,conduire une voiture,차를 운전하다,車を運転する
duck,canard,오리,アヒル
dunk,tremper,덩크,ダンク
eat an apple,manger une pomme,사과를 먹다,りんごを食べる
eat avocado,manger un avocat,아보카도를 먹다,アボカドを食べる
eat beef,manger du boeuf,쇠고기를 먹다,牛肉を食べる
eat fish,manger du poisson,생선을 먹다,魚をたべる
eat lollipop,manger sucette,사탕을 먹다,ロリポップを食べる
eat pancake,manger des crêpes,팬케이크를 먹다,パンケーキを食べる
eat salmon,manger du saumon,연어를 먹다,salを食べる
eat sandwich,manger un sandwich,샌드위치를 ​​먹다,サンドイッチを食べる
eat sushi,manger des sushis,초밥을 먹다,寿司を食べる
eating banana,manger de la banane,바나나를 먹는,バナナを食べる
eating beef steak,manger du steak de boeuf,쇠고기 스테이크를 먹는,ビーフステーキを食べる
eating burger,manger un hamburger,햄버거를 먹는,ハンバーガーを食べる
eating fish,manger du poisson,물고기를 먹는,魚を食べる
eating potato,manger de la pomme de terre,감자를 먹는,ポテトを食べる
eating raw tuna,manger du thon cru,생 참치를 먹는,生マグロを食べる
eating tuna,manger du thon,참치를 먹는,マグロを食べる
exercising body muscle,exercice musculaire,신체 근육 운동,体の筋肉を鍛える
extend neck,etirer le cou,목을 연장하다,首を伸ばす
failing to dunk a basketball,rater un dunk au basket,농구를 마시지 못함,バスケットボールを落とすことに失敗した
fall down,tomber,떨어지다,転ぶ
fancy car,voiture de luxe,잘 꾸며진 차,高級車
feed dog,nourrir un chien,개에게 먹이를 주다,飼料犬
firework,feu d'artifice,불꽃,花火
fix a table,réparer une table,테이블을 고치다,テーブルを修正する
fix computer,réparer l'ordinateur,컴퓨터를 고치다,コンピューターを修正
fix drywall,réparer une cloison,마른 벽에서 나온 것을 고치다,乾式壁を修正
fix tire,réparer le pneu,타이어를 고치다,タイヤを修理する
fixing fence,reparer une cloture,담장,固定フェンス
flame,flamme,불꽃,火炎
flip pancake,retourner une crêpe,플립 팬케이크,フリップパンケーキ
flowers,fleurs,꽃들,フラワーズ
fly in the air,voler dans les airs,공중에서 날다,空を飛ぶ
flying a plane,piloter un avion,비행기를 비행,飛行機を飛ばす
fold a swan,plier un cygne,백조를 접다,白鳥を折る
fold paper,plier du papier,종이 접기,折り紙
fork,fourchette,포크,フォーク
fried chicken,poulet frit,닭 튀김,フライドチキン
fry an egg,faire cuire un oeuf,계란을 볶다,卵を炒める
glossy lipstick,rouge à lèvres brillant,광택있는 립스틱,光沢のある口紅
glue wood,colle à bois,접착제 나무,グルーウッド
grab a cup,attraper une tasse,컵을 잡아,カップをつかむ
grill salmon,grillade de saumon,연어 그릴,グリルサーモン
Grilled cheese,Fromage grillé,구운 치즈,焼きチーズ
grind cheese,raper du fromage,갈기 치즈,グラインドチーズ
grooming face,nettoyer le visage,손질 얼굴,グルーミング顔
hammer a nail,enfoncer un clou avec un marteau,못을 망치다,釘を打ちます
hand shake,poignée de main,손 흔들어,握手
harddrive,disque dur,하드 드라이브,ハードディスク
harmonica,harmonica,하모니카,ハーモニカ
headphone,casque de musique,헤드폰,ヘッドホン
hi i am going to talk about,bonjour je vais parler de,안녕, 내가 이야기 할거야,こんにちは私は話をするつもりです
home repair,reparation maison,집 수리,家の修理
hug a friend,faire un calin a un ami,친구를 안다,友達を抱きしめる
ice coffee,Café glacé,아이스 커피,アイスコーヒー
in the garden,dans le jardin,정원 안에,庭で
infuse tea,infuser du thé,차를 주입,お茶を注入
iron clothe,reppasser des vetements,철 옷,鉄の服
italian recipes,recettes italiennes,이탈리아 요리법,イタリアのレシピ
jack up the car,soulever une voiture,차를 jack 다,車をジャッキアップする
jigsaw,scie sauteuse,실톱,ジグソーパズル
jogging,le jogging,조깅,ジョギング
jump rope,faire de la corde à sauter,줄넘기,縄跳び
jump trampoline,saut de trampoline,트램폴린 점프,ジャンプトランポリン
knead dough,pétrir la pâte,반죽 반죽,生地をこねる
launch paper airplane,lancer des avions en papier,종이 비행기를 발사,紙飛行機を発射
lifting arm,bras élevateur,리프팅 암,リフティングアーム
light a cigar,allumer un cigare,시가에 불을 붙이다,葉巻に火をつける
lily,lis,백합,ゆり
lobster,Homard,랍스터,ロブスター
make a bow,faire un noeud,활을 만들다,お辞儀をする
make a chair,faire une chaise,의자를 만들다,椅子を作る
make a pinata,fabriquer une pinata,피 나타를 만들다,ピニャータを作る
make breakfast,faire le petit déjeuner,아침을 만들다,朝食を作る
make chicken curry,faire du poulet au curry,치킨 카레 만들기,チキンカレーを作る
make coffee,faire du café,커피를 만들다,コーヒーを入れる
make french fries,faire des frites,감자 튀김 만들기,フライドポテトを作る
make snowman,faire un bonhomme de neige,눈사람을 만들다,雪だるまを作る
man cycling,homme qui fait du vélo,남자 자전거,男サイクリング
man holding baby,homme tenant un bébé,남자가 들고 아기,男持株赤ちゃん
man running,homme qui court,남자 달리기,走っている人
mask party night,soirée masquée,마스크 파티 밤,マスクパーティーナイト
massage back,massage du dos,다시 마사지,マッサージバック
measure the wall,faire une mesure du mur,벽을 측정하다,壁を測定する
measure the window,mesurer la fenêtre,창을 측정,窓を測定する
measure wood,mesurer le bois,나무를 측정,木を測る
melt butter,faire fondre le beurre,녹인 버터,バターを溶かす
mix flour with egg,mélanger la farine avec l'oeuf,밀가루와 계란을 섞다,小麦粉と卵を混ぜる
mix flour with milk,mélanger la farine avec du lait,밀가루와 우유를 섞다,小麦粉と牛乳を混ぜる
mix greens,mélanger les legumes verts,믹스 그린,ミックスグリーン
mix oil and water,mélanger eau et huile,기름과 물을 섞다,油と水を混ぜる
mix thoroughly,bien mélanger,철저히 섞다,徹底的に混ぜる
mix tomato,mélanger la tomate,토마토 믹스,ミックストマト
money,argent,돈,お金
mountainbike downhill,VTT descente,산악 자전거 내리막,マウンテンバイク下り坂
moving house,déménagement,이사,引っ越し
mowing grass,tondre la pelouse,잔디를 깎고,草刈り
octopus,poulpe,문어,たこ
oil painting,peinture a l'huile,오일 페인팅,油絵
open bottle,ouvrir une bouteille,열린 병,オープンボトル
open car door,ouvrir une porte de voiture,열린 차 문,車のドアを開ける
open car trunk,ouvrir un coffre de voiture,열린 차 트렁크,車のトランクを開く
open door,ouvrir une porte,문호 개방,開いたドア
open fridge,ouvrir un frigo,냉장고,オープン冷蔵庫
open phone,ouvrir un telephone,열린 전화,電話を開く
open window,ouvrir une fenetre,열린 창,ウィンドウを開く
opening oyster,ouvrir des huîtres,굴 굴기,かきを開ける
origami,origami,종이 접기,折り紙
packing for a bike trip,se preparer pour un voyage a velo,자전거 여행을위한 포장,自転車旅行のための梱包
paint a car,peindre une voiture,차를 칠하다,車を塗る
paint on a wall,peindre un mur,벽에 페인트,壁にペイント
paint shirt,chemise de peinture,페인트 셔츠,ペイントシャツ
paint wood,peinture bois,페인트 나무,ペイントウッド
paper clip,utiliser trombone a papier,종이 클립,ペーパークリップ
peel a banana,peler une banane,바나나 껍질을 벗기다,バナナの皮をむく
peel an apple,peler une pomme,사과 껍질을 벗기다,りんごの皮をむく
performing cpr,faire un massage cardiaque,심폐 소생술 수행,CPRを実行
photoshop,photoshop,포토샵,フォトショップ
pick up the mushrooms,ramasser champignons,버섯을 주워,きのこを拾う
plant tree,planter un arbre,식물 나무,植物の木
play basketball,jouer au basketball,농구를하다,バスケットボールをする
play basketball,jouer au basket,농구를하다,バスケットボールをする
play dart,jouer aux fléchettes,다트를 치다,ダーツをする
play football,jouer au football,축구를하다,サッカーをする
play guitar,jouer de la guitare,플레이 기타,ギターを弾く
play lego,jouer aux lego,레고를 연주하다,レゴをプレイ
play the guitar,jouer de la guitare,기타를 연주하다,ギターを弾く
play violin,jouer du violon,바이올린을 연주하다,バイオリンを弾く
playing drum,jouer de la batterie,드럼 연주,太鼓
playing the saxophone,jouer du saxophone,색소폰 연주,サックスを演奏する
point at the sky,pointez vers le ciel,하늘을 가리키다,空を指す
pony tail haircut,faire une queue de cheval,조랑말 꼬리 이발,ポニーテール散髪
pour coffee,verser du café,커피를 부어,コーヒーを注ぐ
pour concrete,verser du béton,콘크리트를 부어,コンクリートを注ぐ
pour milk,verser le lait,우유를 부어,牛乳を注ぐ
pour water,verser de l'eau,물을 붓다,水を注ぐ
pour wine,verser du vin,와인을 부어,ワインを注ぐ
pouring concrete,couler du béton,쏟아지는 콘크리트,コンクリートを注ぐ
prepare dal makhani,faire lentilles makhani,달 마카 니 준비,ダルマハニを準備する
press a lemon,presser un citron,레몬을 누르다,レモンを押す
press orange juice,presser des oranges,오렌지 주스를 누르십시오,オレンジジュースを押す
print a car in 3D,imprimer une voiture en 3D,자동차를 3D로 인쇄하다,車を3Dで印刷する
print document,imprimer un document,문서 인쇄,印刷文書
purring cat,chat ronronnant,찌르는 고양이,猫のゴロゴロ
purse,bourse,지갑,財布
put cake in oven,mettre le gâteau au four,케이크를 오븐에 넣다,オーブンにケーキを入れます
put pesto sauce,mettre de la sauce pesto,페스토 소스를 넣다,ペストソースをかける
raise hand,lever la main,손을 들다,手を上げる
read a book,lire un livre,책을 읽다,本を読む
read book,lire un livre,책을 읽다,本を読む
read poem,lire un poème,시를 읽다,詩を読む
red car,voiture rouge,빨간 차,赤い車
red hair,cheveux roux,빨강 머리,赤毛
red orchids,orchidées rouges,붉은 난초,赤い蘭
red pepper,poivron rouge,고추,唐辛子
red shirt,t-shirt rouge,빨간 셔츠,赤いシャツ
reload rifle,recharger le fusil,소총 장전,リロードライフル
remote controller,télécommande,리모콘,リモコン
remove iphone battery,enlever la batterie de l'iphone,아이폰 배터리를 제거,iPhoneのバッテリーを取り外す
remove paint from the wood,enlever la peinture du bois,나무에서 페인트를 제거하다,木材から塗料を取り除く
remove rust,enlever la rouille,녹을 제거하다,さびを取り除く
remove tire,enlever le pneu,타이어를 제거하다,タイヤを外す
replace a bulb,remplacer une ampoule,전구를 교체,電球を交換する
replace drain filter on washing machine,remplacer le filtre de vidange de la machine a laver,세탁기의 배수 필터 교체,洗濯機の排水フィルターを交換する
replace pc power supply,remplacer l'alimentation pc,PC 전원 공급 장치 교체,PCの電源を交換してください
replacing hard drive,remplacement du disque dur,하드 드라이브 교체,ハードドライブの交換
repot a plant,rempoter une plante,식물을 재배치하다,植物を植え直す
ribbon,ruban,리본,リボン
ride a bike,faire du vélo,자전거를 타다,自転車に乗る
ride bicycle,faire du vélo,자전거를 타다,自転車にのる
riding horse,faire du cheval,승마 말,乗馬
rocket launch,lancement de fusée,로켓 발사,ロケット打ち上げ
run,courir,운영,走る
running in the beach,courir sur la plage,해변에서 실행,ビーチで走る
score a goal,marquer un but,골을 넣다,ゴールを決める
scrambled eggs,oeufs brouillés,스크램블 에그,スクランブルエッグ
scrambled eggs with tomatoes,oeufs brouillés a la tomate,토마토와 스크램블,スクランブルエッグとトマト
screw a nail,visser un clou,못을 박다,釘をねじ込む
screwdriver,Tournevis,드라이버,ドライバー
season chicken,assaisonner le poulet,시즌 치킨,季節鶏
seat at a desk,s'asseoir à son bureau,책상에 앉다,机の座席
set clock,réglage de l'horloge,시계 설정,時計を設定する
sew clothes,coudre des vêtements,옷을 꿰매다,服を縫う
sew fabric,coudre le tissu,꿰매다 직물,生地を縫う
sew pant,coudre pantalon,바지를 꿰매다,パンツを縫う
sewing a shirt,coudre une chemise,셔츠 재봉,シャツを縫う
shake head,secouer la tête,머리를 흔들다,頭を振る
sharpen a knife,éguiser un couteau,칼을 갈다,ナイフを研ぐ
shaving beard,se raser la barbe,면도 수염,ひげ剃り
shop at the supermarket,faire ses courses au supermarché,슈퍼마켓에서 쇼핑하다,スーパーで買い物
showel,showel,쇼넬,シャワー
silicone molding,moulage de silicone,실리콘 몰딩,シリコーン成形
sip wine,siroter du vin,와인을 마시다,一口ワイン
sit,asseoir,앉다,座る
sleep bed,dormir sur le lit,수면 침대,寝台
sleep on couch,dormir sur un canapé,소파에서 자다,ソファで寝る
slice cake,tranche de gâteau,슬라이스 케이크,スライスケーキ
slice tomato,tranche de tomate,슬라이스 토마토,スライストマト
smoking cigarette,fumer une cigarette,담배를 피우다,たばこ
snorkeling,plongée en apnée,스노클링,シュノーケリング
sow seeds,semer les graines,씨앗을 뿌리다,種をまく
spray paint,peinture en aérosol,스프레이 페인트,スプレーペイント
squeeze a lemon,presser un citron,레몬을 짜다,レモンを絞る
stir quickly,remue vite,빨리 저어,素早くかき混ぜる
stir slowly,remue lentement,천천히 저어,ゆっくりかき混ぜる
stitch a pair of jeans,recoudre un jean,청바지를 꿰매다,ジーンズを縫います
strawberry cake making,fabrication de gâteaux à la fraise,딸기 케이크 만들기,いちごケーキ作り
strawberry salad,salade de fraise,딸기 샐러드,イチゴサラダ
sunglasses,des lunettes de soleil,색안경,サングラス
sunrise,lever du soleil,해돋이,日の出
sunset,le coucher du soleil,일몰,日没
surfing,faire du surf,서핑,サーフィン
swimming,nager,수영,水泳
swing,faire de la balançoire,그네,スイング
take cup,prendre une tasse,컵을,カップを取る
talk to microphone,parler au micro,마이크와 대화,マイクに話しかける
tatoo,tatouage,문신,タトゥー
tea manufacture,fabrication du thé,차 제조,製茶
teddy bear,ours en peluche,테디 베어,テディベア
tennis service,service de tennis,테니스 서비스,テニスサービス
thanks for watching,Merci d'avoir regardé,시청 해주셔서 감사합니다,見てくれてありがとう
throw ball,lancer la balle,공을 던져,ボールを投げる
tie a knot on a rope,faire un noeud sur une corde,밧줄에 매듭을 묶다,ロープで結び目を作る
tie a tie,faire un noeud de cravate,넥타이를 묶다,ネクタイを結ぶ
tie a windsor knot,faire un noeud de windsor,윈저 매듭을 묶다,ウィンザーノットを結ぶ
to dye one's hair,se teindre les cheveux,머리카락을 염색하다,髪を染める
toilet paper roll,rouleau de papier toilette,화장지 롤,トイレットペーパーロール
top pancake sugar,sucrer les pancake,최고 팬케이크 설탕,トップパンケーキシュガー
touch screen,écran tactile,터치 스크린,タッチスクリーン
traffic lane,voie de circulation,차선,車線
tripping and falling,trébucher et tomber,넘어지다,つまずいて落ちる
tulips,tulipes,튤립,チューリップ
tune guitar,accorder la guitare,기타 튜닝,チューンギター
turn off tablet,éteindre la tablette,태블릿 끄기,タブレットをオフにする
turn on TV,allumer la television,TV를 켜다,テレビをつける
tv stand,meuble télévision,TV 스탠드,テレビスタンド
type on a keyboard,tapez sur un clavier,키보드로 타이핑하다,キーボードで入力する
unlock iphone,déverouiller iphone,아이폰의 잠금을 해제,iPhoneのロックを解除
unplug,débrancher,플러그를 뽑다,抜く
use gloves,utiliser des gants,장갑을 쓰다,手袋を使用する
use knife,utiliser un couteau,칼을 사용하다,ナイフを使う
use ruler to measure,utiliser une règle pour mesurer,눈금자를 사용하여 측정,定規を使用して測定する
use spoon,utiliser une cuillère,숟가락 사용,スプーンを使う
using an anvil,en utilisant une enclume,모루 사용,アンビルを使用して
vacuum hoover,aspirateur à vide,진공 후버,真空フーバー
wake up,Réveillez-vous,일어나,目を覚ます
walk dog,promener un chien,개를 산책,散歩犬
wallet,portefeuille,지갑,財布
wash dishes,faire la vaisselle,설거지,食器を洗う
wash fruit,laver les fruits,과일을 씻다,果物を洗う
watch a movie,regarder un film,영화를 감상,映画を見る
water plant,arroser les plantes,수생 식물,水生植物
wear a jacket,porter une veste,재킷을 입다,ジャケットを着る
white shirt,chemise blanche,흰 셔츠,白のシャツ
woman brushes her hair,femme se brosse les cheveux,여자는 그녀의 머리를 브러쉬,女性は彼女の髪を磨く
wooden chair,chaise en bois,나무 의자,木製の椅子
workout,faire des exercices,연습,いい結果になる
wrap a gift,emballer un cadeau,선물 포장,贈り物を包む
wristband,bracelet,팔찌,リストバンド
write letter,écrire une lettre,편지를 쓰다,手紙を書く
write on paper,écrire sur du papier,종이에 쓰다,紙に書く
writing a poem,écrire un poème,시 쓰기,詩を書く
writing on a paper,écrire sur un papier,종이에 쓰기,紙に書く
